Time,Velocity,Acceleration,Thrust,AltitudeFromTerrain,DownrangeDistance,Apoapsis,StageDeltaV,VesselDeltaV,
1,2,3.94,1645.13,95.24,0,84,2394,5293,
2,6,4.09,1645.19,99.28,0,90,2392,5291,
3,10,4.16,1645.35,107.63,0,101,2380,5281,
4,14,4.21,1645.59,119.72,0,119,2367,5272,
5,19,4.27,1645.91,136.6,0,143,2352,5262,
6,23,4.34,1646.33,157.02,0,172,2339,5255,
7,27,4.41,1646.84,182.71,0,210,2325,5249,
8,32,4.47,1647.31,211.72,0,252,2314,5245,
9,36,4.54,1647.97,246.49,0.01,303,2300,5241,
10,41,4.6,1648.73,284.35,0.01,358,2286,5239,
11,46,4.67,1649.55,328.48,0.01,424,2273,5238,
12,50,4.74,1650.46,375.46,0.01,493,2259,5238,
13,55,4.81,1651.46,429.21,0.01,573,2245,5240,
14,60,4.87,1652.52,485.58,0.01,658,2232,5243,
15,65,4.94,1653.68,549.23,0.01,754,2218,5247,
16,70,5,1654.64,615.24,0.01,854,2207,5251,
17,75,5.07,1655.92,689.05,0.01,966,2193,5258,
18,80,5.13,1657.24,764.96,0.01,1082,2179,5266,
19,85,5.2,1658.62,849.22,0.01,1211,2166,5275,
20,90,5.26,1660.08,935.28,0.01,1344,2152,5286,
21,96,5.33,1661.56,1030.24,0.01,1491,2138,5297,
22,101,5.37,1662.81,1126.71,0.01,1640,2124,5304,
23,106,5.29,1664.38,1232.53,0.01,1804,2108,5316,
24,111,5.32,1666,1339.31,0.01,1968,2098,5335,
25,117,5.55,1667.63,1455.68,0.01,2146,2084,5350,
26,122,5.78,1669.27,1572.43,0.01,2323,2070,5366,
27,127,5.95,1670.97,1699.01,0.01,2515,2055,5383,
28,132,6.09,1672.64,1825.46,0.02,2706,2041,5400,
29,137,6.26,1674.36,1962.03,0.04,2912,2026,5419,
30,143,6.51,1675.71,2097.98,0.05,3116,2015,5434,
31,148,6.79,1677.43,2244.33,0.08,3335,2000,5453,
32,154,7.02,1679.11,2389.58,0.1,3552,1985,5472,
33,159,7.23,1680.79,2545.57,0.14,3786,1970,5491,
34,165,7.4,1682.49,2700.06,0.17,4017,1955,5511,
35,171,7.56,1684.14,2865.69,0.22,4266,1939,5531,
36,178,7.73,1685.5,3029.51,0.27,4513,1927,5548,
37,184,7.92,1687.13,3204.93,0.33,4778,1911,5568,
38,191,8.09,1688.78,3378.24,0.39,5041,1895,5588,
39,198,8.28,1690.39,3563.63,0.46,5324,1879,5608,
40,205,8.45,1691.97,3746.61,0.53,5604,1863,5628,
41,212,8.64,1693.57,3942.16,0.61,5904,1847,5648,
42,220,8.82,1695.13,4134.99,0.7,6202,1831,5668,
43,228,9.02,1696.69,4340.87,0.8,6520,1814,5687,
44,236,9.21,1697.91,4543.68,0.9,6835,1800,5703,
45,244,9.42,1699.44,4760.02,1.01,7172,1783,5722,
46,252,9.59,1700.98,4972.92,1.13,7504,1766,5741,
47,261,9.72,1702.49,5199.75,1.26,7856,1748,5760,
48,269,9.84,1703.71,5422.67,1.39,8202,1733,5775,
49,278,9.96,1705.21,5659.8,1.54,8569,1715,5793,
50,287,10.05,1706.66,5892.51,1.69,8928,1696,5810,
51,296,10.09,1707.81,6139.69,1.85,9307,1681,5823,
52,305,10.14,1709.24,6381.86,2.02,9676,1662,5839,
53,314,10.26,1710.61,6638.67,2.2,10066,1643,5854,
54,323,10.45,1711.7,6889.97,2.38,10449,1628,5865,
55,333,10.69,1713.05,7156.33,2.58,10858,1608,5879,
56,342,10.87,1714.34,7416.92,2.78,11259,1589,5891,
57,352,10.98,1715.37,7693.03,3,11685,1573,5900,
58,362,11.11,1716.64,7962.95,3.22,12101,1553,5911,
59,372,11.26,1717.85,8248.71,3.46,12541,1533,5920,
60,382,11.43,1718.81,8527.86,3.7,12972,1516,5927,
61,393,11.63,1719.99,8823.22,3.96,13429,1495,5935,
62,403,11.84,1721.11,9111.64,4.22,13878,1475,5941,
63,415,12.08,1721.98,9416.7,4.5,14354,1458,5945,
64,426,12.33,1723.04,9714.51,4.78,14822,1436,5949,
65,437,12.6,1724.04,10029.43,5.08,15320,1415,5951,
66,449,12.88,1724.82,10336.82,5.38,15809,1397,5952,
67,461,13.19,1725.76,10661.83,5.71,16331,1375,5952,
68,473,13.5,1726.64,10979.05,6.03,16844,1353,5951,
69,486,13.84,1727.32,11314.45,6.38,17391,1335,5949,
70,499,14.18,1728.15,11648.53,6.74,17941,1313,5945,
71,513,14.53,1728.92,11987.91,7.11,18505,1290,5940,
72,526,14.88,1729.52,12325.71,7.48,19071,1272,5936,
73,541,15.24,1730.24,12682.86,7.88,19676,1248,5929,
74,555,15.59,1730.91,13031.42,8.28,20271,1225,5921,
75,570,15.93,1731.43,13399.89,8.71,20905,1206,5913,
76,585,16.26,1732.05,13759.43,9.14,21528,1182,5903,
77,601,16.58,1732.62,14139.42,9.6,22191,1158,5892,
78,616,16.89,1733.06,14510.08,10.05,22842,1138,5882,
79,632,17.21,1733.59,14901.68,10.54,23535,1114,5869,
80,648,17.53,1734.08,15283.52,11.03,24215,1089,5855,
81,665,17.86,1734.45,15686.81,11.55,24938,1069,5843,
82,682,18.18,1734.89,16079.91,12.07,25649,1043,5828,
83,700,18.53,1735.29,16494.94,12.62,26405,1018,5811,
84,717,18.86,1735.6,16899.36,13.17,27147,998,5797,
85,736,19.21,1735.96,17326.2,13.76,27938,971,5779,
86,754,19.54,1736.3,17742,14.34,28715,945,5760,
